minecraft:stone,stone,1
minecraft:dark_oak_stairs,dark_oak_stairs,164
minecraft:slime_block,slime_block,165
minecraft:barrier,barrier,166
minecraft:iron_trapdoor,iron_trapdoor,167
minecraft:prismarine,prismarine,168
minecraft:dark_prismarine,dark_prismarine,168:2
minecraft:lantern,lantern,169
minecraft:hay_block,hay_block,170
minecraft:white_carpet,white_carpet,171
minecraft:orange_carpet,orange_carpet,171:1
minecraft:magenta_carpet,magenta_carpet,171:2
minecraft:light_blue_carpet,light_blue_carpet,171:3
minecraft:yellow_carpet,yellow_carpet,171:4
minecraft:lime_carpet,lime_carpet,171:5
minecraft:pink_carpet,pink_carpet,171:6
minecraft:gray_carpet,gray_carpet,171:7
minecraft:light_gray_carpet,light_gray_carpet,171:8
minecraft:cyan_carpet,cyan_carpet,171:9
minecraft:purple_carpet,purple_carpet,171:10
minecraft:blue_carpet,blue_carpet,171:11
minecraft:brown_carpet,brown_carpet,171:12
minecraft:green_carpet,green_carpet,171:13
minecraft:red_carpet,red_carpet,171:14
minecraft:black_carpet,black_carpet,171:15
minecraft:coal_block,coal_block,173
minecraft:packed_ice,packed_ice,174
minecraft:sunflower,sunflower,175
minecraft:lilac,lilac,175:1
minecraft:large_fern,large_fern,175:3
minecraft:rose_bush,rose_bush,175:4
minecraft:peony,peony,175:5
minecraft:red_sandstone,red_sandstone,179
minecraft:chiseled_red_sandstone,chiseled_red_sandstone,179:1
minecraft:smooth_red_sandstone,smooth_red_sandstone,179:2
minecraft:red_sandstone_stairs,red_sandstone_stairs,180
minecraft:red_sandstone_slab,red_sandstone_slab,182
minecraft:spruce_fence_gate,spruce_fence_gate,183
minecraft:birch_fence_gate,birch_fence_gate,184
minecraft:jungle_fence_gate,jungle_fence_gate,185
minecraft:dark_oak_fence_gate,dark_oak_fence_gate,186
minecraft:acacia_fence_gate,acacia_fence_gate,187
minecraft:spruce_fence,spruce_fence,188
minecraft:birch_fence,birch_fence,189
minecraft:jungle_fence,jungle_fence,190
minecraft:dark_oak_fence,dark_oak_fence,191
minecraft:acacia_fence,acacia_fence,192
minecraft:end_rod,end_rod,198
minecraft:chorus_plant,chorus_plant,199
minecraft:chorus_flower,chorus_flower,200
minecraft:purpur_block,purpur_block,201
minecraft:purpur_pillar,purpur_pillar,202
minecraft:purpur_stairs,purpur_stairs,203
minecraft:purpur_slab,purpur_slab,205
minecraft:end_stone_bricks,end_stone_bricks,206
minecraft:grass_path,dirt_path,208
minecraft:repeating_command_block,repeating_command_block,210
minecraft:chain_command_block,chain_command_block,211
minecraft:magma_block,magma_block,213
minecraft:nether_wart_block,nether_wart_block,214
minecraft:bone_block,bone_block,216
minecraft:structure_void,structure_void,217
minecraft:observer,observer,218
minecraft:shulker_box,shulker_box,219
minecraft:orange_shulker_box,orange_shulker_box,220
minecraft:magenta_shulker_box,magenta_shulker_box,221
minecraft:light_blue_shulker_box,light_blue_shulker_box,222
minecraft:yellow_shulker_box,yellow_shulker_box,223
minecraft:lime_shulker_box,lime_shulker_box,224
minecraft:pink_shulker_box,pink_shulker_box,225
minecraft:gray_shulker_box,gray_shulker_box,226
minecraft:light_gray_shulker_box,light_gray_shulker_box,227
minecraft:cyan_shulker_box,cyan_shulker_box,228
minecraft:purple_shulker_box,purple_shulker_box,229
minecraft:blue_shulker_box,blue_shulker_box,230
minecraft:brown_shulker_box,brown_shulker_box,231
minecraft:green_shulker_box,green_shulker_box,232
minecraft:red_shulker_box,red_shulker_box,233
minecraft:black_shulker_box,black_shulker_box,234
minecraft:white_concrete,white_concrete,251
minecraft:orange_concrete,orange_concrete,251:1
minecraft:magenta_concrete,magenta_concrete,251:2
minecraft:light_blue_concrete,light_blue_concrete,251:3
minecraft:yellow_concrete,yellow_concrete,251:4
minecraft:lime_concrete,lime_concrete,251:5
minecraft:pink_concrete,pink_concrete,251:6
minecraft:gray_concrete,gray_concrete,251:7
minecraft:light_gray_concrete,light_gray_concrete,251:8
minecraft:cyan_concrete,cyan_concrete,251:9
minecraft:purple_concrete,purple_concrete,251:10
minecraft:blue_concrete,blue_concrete,251:11
minecraft:brown_concrete,brown_concrete,251:12
minecraft:green_concrete,green_concrete,251:13
minecraft:red_concrete,red_concrete,251:14
minecraft:black_concrete,black_concrete,251:15
minecraft:white_concrete_powder,white_concrete_powder,252
minecraft:orange_concrete_powder,orange_concrete_powder,252:1
minecraft:magenta_concrete_powder,magenta_concrete_powder,252:2
minecraft:light_blue_concrete_powder,light_blue_concrete_powder,252:3
minecraft:yellow_concrete_powder,yellow_concrete_powder,252:4
minecraft:lime_concrete_powder,lime_concrete_powder,252:5
minecraft:pink_concrete_powder,pink_concrete_powder,252:6
minecraft:gray_concrete_powder,gray_concrete_powder,252:7
minecraft:light_gray_concrete_powder,light_gray_concrete_powder,252:8
minecraft:cyan_concrete_powder,cyan_concrete_powder,252:9
minecraft:purple_concrete_powder,purple_concrete_powder,252:10
minecraft:blue_concrete_powder,blue_concrete_powder,252:11
minecraft:brown_concrete_powder,brown_concrete_powder,252:12
minecraft:green_concrete_powder,green_concrete_powder,252:13
minecraft:red_concrete_powder,red_concrete_powder,252:14
minecraft:black_concrete_powder,black_concrete_powder,252:15
minecraft:structure_block,structure_block,255
minecraft:iron_shovel,iron_shovel,256
minecraft:iron_pickaxe,iron_pickaxe,257
minecraft:iron_axe,iron_axe,258
minecraft:flint_and_steel,flint_and_steel,259
minecraft:apple,apple,260
minecraft:bow,bow,261
minecraft:arrow,arrow,262
minecraft:coal,coal,263
minecraft:charcoal,charcoal,263:1
minecraft:diamond,diamond,264
minecraft:iron_ingot,iron_ingot,265
minecraft:gold_ingot,gold_ingot,266
minecraft:iron_sword,iron_sword,267
minecraft:wooden_sword,wooden_sword,268
minecraft:wooden_shovel,wooden_shovel,269
minecraft:wooden_pickaxe,wooden_pickaxe,270
minecraft:wooden_axe,wooden_axe,271
minecraft:stone_sword,stone_sword,272
minecraft:stone_shovel,stone_shovel,273
minecraft:stone_pickaxe,stone_pickaxe,274
minecraft:stone_axe,stone_axe,275
minecraft:diamond_sword,diamond_sword,276
minecraft:diamond_shovel,diamond_shovel,277
minecraft:diamond_pickaxe,diamond_pickaxe,278
minecraft:diamond_axe,diamond_axe,279
minecraft:stick,stick,280
minecraft:bowl,bowl,281
minecraft:golden_sword,golden_sword,283
minecraft:golden_shovel,golden_shovel,284
minecraft:golden_pickaxe,golden_pickaxe,285
minecraft:golden_axe,golden_axe,286
minecraft:string,string,287
minecraft:feather,feather,288
minecraft:gunpowder,gunpowder,289
minecraft:wooden_hoe,wooden_hoe,290
minecraft:stone_hoe,stone_hoe,291
minecraft:iron_hoe,iron_hoe,292
minecraft:diamond_hoe,diamond_hoe,293
minecraft:golden_hoe,golden_hoe,294
minecraft:wheat,wheat,296
minecraft:bread,bread,297
minecraft:leather_helmet,leather_helmet,298
minecraft:leather_chestplate,leather_chestplate,299
minecraft:leather_leggings,leather_leggings,300
minecraft:leather_boots,leather_boots,301
minecraft:chainmail_helmet,chainmail_helmet,302
minecraft:chainmail_chestplate,chainmail_chestplate,303
minecraft:chainmail_leggings,chainmail_leggings,304
minecraft:chainmail_boots,chainmail_boots,305
minecraft:iron_helmet,iron_helmet,306
minecraft:iron_chestplate,iron_chestplate,307
minecraft:iron_leggings,iron_leggings,308
minecraft:iron_boots,iron_boots,309
minecraft:diamond_helmet,diamond_helmet,310
minecraft:diamond_chestplate,diamond_chestplate,311
minecraft:diamond_leggings,diamond_leggings,312
minecraft:diamond_boots,diamond_boots,313
minecraft:golden_helmet,golden_helmet,314
minecraft:golden_chestplate,golden_chestplate,315
minecraft:golden_leggings,golden_leggings,316
minecraft:golden_boots,golden_boots,317
minecraft:flint,flint,318
minecraft:porkchop,porkchop,319
minecraft:cooked_porkchop,cooked_porkchop,320
minecraft:painting,painting,321
minecraft:golden_apple,golden_apple,322
minecraft:enchanted_golden_apple,enchanted_golden_apple,322:1
minecraft:oak_door,oak_door,324
minecraft:bucket,bucket,325
minecraft:water_bucket,water_bucket,326
minecraft:lava_bucket,lava_bucket,327
minecraft:minecart,minecart,328
minecraft:saddle,saddle,329
minecraft:iron_door,iron_door,330
minecraft:redstone,redstone,331
minecraft:snowball,snowball,332
minecraft:oak_boat,oak_boat,333
minecraft:leather,leather,334
minecraft:milk_bucket,milk_bucket,335
minecraft:brick,brick,336
minecraft:clay_ball,clay_ball,337
minecraft:bamboo,bamboo,338
minecraft:paper,paper,339
minecraft:book,book,340
minecraft:slime_ball,slime_ball,341
minecraft:chest_minecart,chest_minecart,342
minecraft:furnace_minecart,furnace_minecart,343
minecraft:egg,egg,344
minecraft:compass,compass,345
minecraft:fishing_rod,fishing_rod,346
minecraft:clock,clock,347
minecraft:glowstone_dust,glowstone_dust,348
minecraft:cod,cod,349
minecraft:salmon,salmon,349:1
minecraft:tropical_fish,tropical_fish,349:2
minecraft:pufferfish,pufferfish,349:3
minecraft:cooked_cod,cooked_cod,350
minecraft:cooked_salmon,cooked_salmon,350:1
minecraft:black_dye,black_dye,351
minecraft:red_dye,red_dye,351:1
minecraft:green_dye,green_dye,351:2
minecraft:brown_dye,brown_dye,351:3
minecraft:blue_dye,blue_dye,351:4
minecraft:purple_dye,purple_dye,351:5
minecraft:cyan_dye,cyan_dye,351:6
minecraft:light_gray_dye,light_gray_dye,351:7
minecraft:gray_dye,gray_dye,351:8
minecraft:pink_dye,pink_dye,351:9
minecraft:lime_dye,lime_dye,351:10
minecraft:yellow_dye,yellow_dye,351:11
minecraft:light_blue_dye,light_blue_dye,351:12
minecraft:magenta_dye,magenta_dye,351:13
minecraft:orange_dye,orange_dye,351:14
minecraft:bone_meal,bone_meal,351:15
minecraft:bone,bone,352
minecraft:sugar,sugar,353
minecraft:cake,cake,354
minecraft:white_bed,white_bed,355
minecraft:orange_bed,orange_bed,355:1
minecraft:magenta_bed,magenta_bed,355:2
minecraft:light_blue_bed,light_blue_bed,355:3
minecraft:yellow_bed,yellow_bed,355:4
minecraft:lime_bed,lime_bed,355:5
minecraft:pink_bed,pink_bed,355:6
minecraft:gray_bed,gray_bed,355:7
minecraft:light_gray_bed,light_gray_bed,355:8
minecraft:cyan_bed,cyan_bed,355:9
minecraft:purple_bed,purple_bed,355:10
minecraft:blue_bed,blue_bed,355:11
minecraft:brown_bed,brown_bed,355:12
minecraft:green_bed,green_bed,355:13
minecraft:red_bed,red_bed,355:14
minecraft:black_bed,black_bed,355:15
minecraft:repeater,repeater,356
minecraft:cookie,cookie,357
minecraft:shears,shears,359
minecraft:melon_slice,melon_slice,360
minecraft:pumpkin_seeds,pumpkin_seeds,361
minecraft:melon_seeds,melon_seeds,362
minecraft:beef,beef,363
minecraft:cooked_beef,cooked_beef,364
minecraft:chicken,chicken,365
minecraft:cooked_chicken,cooked_chicken,366
minecraft:rotten_flesh,rotten_flesh,367
minecraft:ender_pearl,ender_pearl,368
minecraft:blaze_rod,blaze_rod,369
minecraft:ghast_tear,ghast_tear,370
minecraft:gold_nugget,gold_nugget,371
minecraft:nether_wart,nether_wart,372
minecraft:potion,potion,373
minecraft:glass_bottle,glass_bottle,374
minecraft:spider_eye,spider_eye,375
minecraft:fermented_spider_eye,fermented_spider_eye,376
minecraft:blaze_powder,blaze_powder,377
minecraft:magma_cream,magma_cream,378
minecraft:brewing_stand,brewing_stand,379
minecraft:cauldron,cauldron,380
minecraft:ender_eye,ender_eye,381
minecraft:creeper_spawn_egg,creeper_spawn_egg,383:50
minecraft:skeleton_spawn_egg,skeleton_spawn_egg,383:51
minecraft:spider_spawn_egg,spider_spawn_egg,383:52
minecraft:zombie_spawn_egg,zombie_spawn_egg,383:54
minecraft:slime_spawn_egg,slime_spawn_egg,383:55
minecraft:ghast_spawn_egg,ghast_spawn_egg,383:56
minecraft:enderman_spawn_egg,enderman_spawn_egg,383:58
minecraft:cave_spider_spawn_egg,cave_spider_spawn_egg,383:59
minecraft:silverfish_spawn_egg,silverfish_spawn_egg,383:60
minecraft:blaze_spawn_egg,blaze_spawn_egg,383:61
minecraft:magma_cube_spawn_egg,magma_cube_spawn_egg,383:62
minecraft:bat_spawn_egg,bat_spawn_egg,383:65
minecraft:witch_spawn_egg,witch_spawn_egg,383:66
minecraft:endermite_spawn_egg,endermite_spawn_egg,383:67
minecraft:guardian_spawn_egg,guardian_spawn_egg,383:68
minecraft:shulker_spawn_egg,shulker_spawn_egg,383:69
minecraft:pig_spawn_egg,pig_spawn_egg,383:90
minecraft:sheep_spawn_egg,sheep_spawn_egg,383:91
minecraft:cow_spawn_egg,cow_spawn_egg,383:92
minecraft:chicken_spawn_egg,chicken_spawn_egg,383:93
minecraft:squid_spawn_egg,squid_spawn_egg,383:94
minecraft:wolf_spawn_egg,wolf_spawn_egg,383:95
minecraft:mooshroom_spawn_egg,mooshroom_spawn_egg,383:96
minecraft:snow_golem_spawn_egg,snow_golem_spawn_egg,383:97
minecraft:ocelot_spawn_egg,ocelot_spawn_egg,383:98
minecraft:iron_golem_spawn_egg,iron_golem_spawn_egg,383:99
minecraft:horse_spawn_egg,horse_spawn_egg,383:100
minecraft:rabbit_spawn_egg,rabbit_spawn_egg,383:101
minecraft:polar_bear_spawn_egg,polar_bear_spawn_egg,383:102
minecraft:villager_spawn_egg,villager_spawn_egg,383:120
minecraft:experience_bottle,experience_bottle,384
minecraft:fire_charge,fire_charge,385
minecraft:written_book,written_book,387
minecraft:emerald,emerald,388
minecraft:item_frame,item_frame,389
minecraft:flower_pot,flower_pot,390
minecraft:carrot,carrot,391
minecraft:potato,potato,392
minecraft:baked_potato,baked_potato,393
minecraft:poisonous_potato,poisonous_potato,394
minecraft:map,map,395
minecraft:golden_carrot,golden_carrot,396
minecraft:skeleton_skull,skeleton_skull,397
minecraft:wither_skeleton_skull,wither_skeleton_skull,397:1
minecraft:zombie_head,zombie_head,397:2
minecraft:player_head,player_head,397:3
minecraft:creeper_head,creeper_head,397:4
minecraft:dragon_head,dragon_head,397:5
minecraft:carrot_on_a_stick,carrot_on_a_stick,398
minecraft:nether_star,nether_star,399
minecraft:pumpkin_pie,pumpkin_pie,400
minecraft:firework_rocket,firework_rocket,401
minecraft:firework_star,firework_star,402
minecraft:enchanted_book,enchanted_book,403
minecraft:comparator,comparator,404
minecraft:nether_brick,nether_brick,405
minecraft:quartz,quartz,406
minecraft:tnt_minecart,tnt_minecart,407
minecraft:hopper_minecart,hopper_minecart,408
minecraft:prismarine_shard,prismarine_shard,409
minecraft:rabbit,rabbit,411
minecraft:cooked_rabbit,cooked_rabbit,412
minecraft:rabbit_stew,rabbit_stew,413
minecraft:rabbit_foot,rabbit_foot,414
minecraft:rabbit_hide,rabbit_hide,415
minecraft:armor_stand,armor_stand,416
minecraft:iron_horse_armor,iron_horse_armor,417
minecraft:golden_horse_armor,golden_horse_armor,418
minecraft:diamond_horse_armor,diamond_horse_armor,419
minecraft:lead,lead,420
minecraft:name_tag,name_tag,421
minecraft:command_block_minecart,command_block_minecart,422
minecraft:mutton,mutton,423
minecraft:cooked_mutton,cooked_mutton,424
minecraft:black_banner,black_banner,425
minecraft:red_banner,red_banner,425:1
minecraft:green_banner,green_banner,425:2
minecraft:brown_banner,brown_banner,425:3
minecraft:blue_banner,blue_banner,425:4
minecraft:purple_banner,purple_banner,425:5
minecraft:cyan_banner,cyan_banner,425:6
minecraft:pink_banner,pink_banner,425:9
minecraft:lime_banner,lime_banner,425:10
minecraft:yellow_banner,yellow_banner,425:11
minecraft:light_blue_banner,light_blue_banner,425:12
minecraft:magenta_banner,magenta_banner,425:13
minecraft:orange_banner,orange_banner,425:14
minecraft:white_banner,white_banner,425:15
minecraft:end_crystal,end_crystal,426
minecraft:spruce_door,spruce_door,427
minecraft:birch_door,birch_door,428
minecraft:jungle_door,jungle_door,429
minecraft:acacia_door,acacia_door,430
minecraft:dark_oak_door,dark_oak_door,431
minecraft:chorus_fruit,chorus_fruit,432
minecraft:beetroot,beetroot,434
minecraft:beetroot_seeds,beetroot_seeds,435
minecraft:beetroot_soup,beetroot_soup,436
minecraft:dragon_breath,dragon_breath,437
minecraft:spectral_arrow,spectral_arrow,439
minecraft:lingering_potion,lingering_potion,441
minecraft:shield,shield,442
minecraft:elytra,elytra,443
minecraft:spruce_boat,spruce_boat,444
minecraft:birch_boat,birch_boat,445
minecraft:jungle_boat,jungle_boat,446
minecraft:acacia_boat,acacia_boat,447
minecraft:dark_oak_boat,dark_oak_boat,448
minecraft:shulker_shell,shulker_shell,450
minecraft:iron_nugget,iron_nugget,452
minecraft:knowledge_book,knowledge_book,453
minecraft:music_disc_13,music_disc_13,2256
minecraft:music_disc_cat,music_disc_cat,2257
minecraft:music_disc_blocks,music_disc_blocks,2258
minecraft:music_disc_chirp,music_disc_chirp,2259
minecraft:music_disc_5,music_disc_5,2260
minecraft:music_disc_mall,music_disc_mall,2261
minecraft:music_disc_mellohi,music_disc_mellohi,2262
minecraft:music_disc_stal,music_disc_stal,2263
minecraft:music_disc_strad,music_disc_strad,2264
minecraft:music_disc_ward,music_disc_ward,2265
minecraft:music_disc_11,music_disc_11,2266
minecraft:music_disc_wait,music_disc_wait,2267
minecraft:acacia_button,acacia_button,null
minecraft:acacia_chest_boat,acacia_chest_boat,null
minecraft:acacia_hanging_sign,acacia_hanging_sign,null
minecraft:acacia_pressure_plate,acacia_pressure_plate,null
minecraft:acacia_sign,acacia_sign,null
minecraft:acacia_trapdoor,acacia_trapdoor,null
minecraft:air,air,null
minecraft:allay_spawn_egg,allay_spawn_egg,null
minecraft:amethyst_block,amethyst_block,null
minecraft:amethyst_cluster,amethyst_cluster,null
minecraft:amethyst_shard,amethyst_shard,null
minecraft:ancient_debris,ancient_debris,null
minecraft:andesite_slab,andesite_slab,null
minecraft:andesite_stairs,andesite_stairs,null
